epoch,model_level,loss,accuracy,train_time,test_time
11,9,0.3963,0.9352,5.72,1.82
12,9,0.3934,0.9375,5.74,1.83
13,9,0.3988,0.9439,5.73,1.82
14,9,0.3893,0.9497,5.73,1.81
15,9,0.3879,0.946,5.74,1.82
1,10,0.5009,0.8668,1.9,0.63
2,10,0.4503,0.8894,1.88,0.63
3,10,0.434,0.9197,1.87,0.63
4,10,0.4104,0.9295,1.89,0.63
5,10,0.4059,0.9486,1.89,0.63
6,10,0.3928,0.9345,1.88,0.63
7,10,0.3894,0.9493,1.88,0.63
8,10,0.3876,0.9549,1.88,0.63
9,10,0.3796,0.969,1.87,0.63
1,11,0.4934,0.844,0.57,0.25
2,11,0.4553,0.8818,0.57,0.25
3,11,0.4324,0.9267,0.56,0.25
4,11,0.4115,0.9243,0.56,0.25
5,11,0.3966,0.9385,0.57,0.25
6,11,0.3938,0.9433,0.57,0.25
7,11,0.3822,0.9574,0.57,0.25
8,11,0.3729,0.9504,0.56,0.25
9,11,0.3781,0.9598,0.57,0.25
10,11,0.3715,0.974,0.56,0.25
1,12,0.4128,0.8723,0.53,0.16
2,12,0.4746,0.8832,0.49,0.16
3,12,0.4387,0.865,0.52,0.16
4,12,0.4613,0.9124,0.51,0.16
5,12,0.3983,0.9088,0.53,0.16
6,12,0.423,0.8978,0.51,0.15
7,12,0.3993,0.9015,0.5,0.16
8,12,0.4431,0.8869,0.49,0.15
9,12,0.4598,0.9197,0.5,0.15
10,12,0.397,0.927,0.49,0.16
11,12,0.4135,0.9197,0.51,0.15
12,12,0.411,0.9234,0.53,0.15
13,12,0.3712,0.9197,0.49,0.16
14,12,0.4376,0.9453,0.51,0.16
15,12,0.396,0.9562,0.5,0.15
1,13,0.5367,1.0,0.11,0.02
1,14,0.4421,1.0,0.09,0.04
1,15,0.3564,1.0,0.08,0.03
1,16,0.3395,0.9737,0.1,0.04
1,17,0.3425,1.0,0.11,0.05
1,2,0.3971,0.9231,1.15,0.24
2,2,0.3938,0.9285,0.94,0.2
3,2,0.3889,0.9354,0.94,0.21
4,2,0.3892,0.9333,0.97,0.2
5,2,0.3856,0.9391,0.91,0.19
6,2,0.3796,0.937,0.98,0.21
7,2,0.3812,0.937,0.98,0.24
8,2,0.3793,0.9439,1.02,0.26
9,2,0.381,0.9349,0.92,0.2
10,2,0.378,0.9429,0.94,0.19
11,2,0.383,0.9455,0.91,0.23
12,2,0.3807,0.945,0.92,0.26
13,2,0.3795,0.9455,0.93,0.2
14,2,0.379,0.9434,0.93,0.25
15,2,0.3792,0.9461,0.94,0.24
1,3,0.4048,0.941,0.65,0.19
2,3,0.392,0.9507,0.61,0.18
3,3,0.375,0.9595,0.65,0.19
4,3,0.3752,0.9569,0.61,0.19
5,3,0.3725,0.9621,0.6,0.17
1,4,0.392,0.9533,1.87,0.55
2,4,0.3863,0.9515,1.86,0.56
3,4,0.3813,0.9613,1.86,0.55
1,5,0.3963,0.9273,7.4,2.24
2,5,0.3947,0.9481,7.36,2.24
3,5,0.3839,0.9485,7.32,2.23
4,5,0.3824,0.956,7.34,2.25
5,5,0.3784,0.9644,7.27,2.26
1,6,0.394,0.9363,11.96,3.7
2,6,0.3893,0.9432,11.81,3.71
3,6,0.3829,0.9534,11.91,3.7
4,6,0.38,0.9574,11.85,3.7
5,6,0.3754,0.9585,11.84,3.72
6,6,0.3739,0.9607,11.91,3.72
1,7,0.4156,0.9283,17.34,5.29
2,7,0.3985,0.9338,17.23,5.31
3,7,0.3898,0.9494,17.17,5.3
4,7,0.3864,0.9527,17.26,5.3
5,7,0.3825,0.9578,17.24,5.32
6,7,0.3789,0.9613,17.22,5.31
1,8,0.4131,0.9356,5.86,1.86
2,8,0.3932,0.939,5.78,1.86
3,8,0.3897,0.9488,5.8,1.87
4,8,0.3785,0.953,5.81,1.87
5,8,0.3754,0.9613,5.81,1.87
1,9,0.4206,0.9189,9.95,3.15
2,9,0.4005,0.9358,9.66,3.15
3,9,0.3948,0.9432,9.67,3.14
4,9,0.3924,0.941,9.68,3.14
5,9,0.3874,0.956,9.67,3.16
6,9,0.3857,0.9493,9.68,3.14
7,9,0.3834,0.9564,9.68,3.14
8,9,0.382,0.9584,9.67,3.15
9,9,0.377,0.9555,9.69,3.15
10,9,0.3769,0.9677,9.67,3.15
1,10,0.4194,0.9347,3.29,1.0
2,10,0.4032,0.9253,3.22,0.99
3,10,0.3984,0.9499,3.26,1.0
4,10,0.392,0.9516,3.23,0.99
5,10,0.3834,0.9639,3.26,1.0
1,11,0.3967,0.9492,0.92,0.35
2,11,0.3775,0.9538,0.92,0.34
3,11,0.3692,0.9676,0.92,0.34
1,12,0.4325,0.8857,0.69,0.33
2,12,0.4286,0.8918,0.69,0.33
3,12,0.4128,0.9184,0.69,0.33
4,12,0.3995,0.9306,0.68,0.33
5,12,0.3909,0.9367,0.68,0.33
6,12,0.3826,0.9531,0.68,0.33
7,12,0.3786,0.949,0.68,0.33
8,12,0.3712,0.9469,0.68,0.33
